================ Training Loss (Fri Jun 16 23:20:50 2023) ================
(epoch: 175, iters: 544, time: 0.040, data: 0.002) D_A: 0.248 G_A: 0.015 cycle_A: 0.004 idt_A: 0.000 D_B: 0.008 G_B: 0.253 cycle_B: 2.720 idt_B: 0.000 
(epoch: 177, iters: 256, time: 0.037, data: 0.229) D_A: 0.251 G_A: 0.015 cycle_A: 0.003 idt_A: 0.000 D_B: 0.009 G_B: 0.257 cycle_B: 2.638 idt_B: 0.000 
(epoch: 178, iters: 512, time: 0.038, data: 0.002) D_A: 0.252 G_A: 0.015 cycle_A: 0.003 idt_A: 0.000 D_B: 0.008 G_B: 0.245 cycle_B: 2.624 idt_B: 0.000 
(epoch: 180, iters: 224, time: 0.040, data: 0.002) D_A: 0.249 G_A: 0.016 cycle_A: 0.004 idt_A: 0.000 D_B: 0.008 G_B: 0.256 cycle_B: 2.669 idt_B: 0.000 
(epoch: 181, iters: 480, time: 0.039, data: 0.002) D_A: 0.259 G_A: 0.016 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.245 cycle_B: 2.636 idt_B: 0.000 
(epoch: 183, iters: 192, time: 0.035, data: 0.002) D_A: 0.251 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.254 cycle_B: 2.629 idt_B: 0.000 
(epoch: 184, iters: 448, time: 0.036, data: 0.002) D_A: 0.247 G_A: 0.016 cycle_A: 0.003 idt_A: 0.000 D_B: 0.009 G_B: 0.253 cycle_B: 2.617 idt_B: 0.000 
(epoch: 186, iters: 160, time: 0.034, data: 0.002) D_A: 0.251 G_A: 0.015 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.247 cycle_B: 2.622 idt_B: 0.000 
(epoch: 187, iters: 416, time: 0.039, data: 0.000) D_A: 0.252 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.250 cycle_B: 2.652 idt_B: 0.000 
(epoch: 189, iters: 128, time: 0.036, data: 0.002) D_A: 0.256 G_A: 0.016 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.247 cycle_B: 2.662 idt_B: 0.000 
(epoch: 190, iters: 384, time: 0.041, data: 0.000) D_A: 0.251 G_A: 0.015 cycle_A: 0.010 idt_A: 0.000 D_B: 0.008 G_B: 0.249 cycle_B: 2.641 idt_B: 0.000 
